Address,is_address
"Lorem ipsum dolor sit amet, consectetur adipi",0
"Etiam ultricies velit orci, sed viverra felis",0
"Phasellus a blandit augue. Proin quis risus l",0
"Etiam facilisis porttitor ipsum, vitae maximu",0
"Etiam ultricies velit orci, sed viverra felis",0
"Phasellus a blandit augue. Proin quis risus l",0
"dales nibh varius vitae. Integer vitae magna",0
"Quisque aliquam lorem turpis. Cras gravida to",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Duis vulputate velit eget quam vulputate, vit",0
"i. Nulla imperdiet purus ut augue sagittis, i",0
"Duis vulputate velit eget quam vulputate, vit",0
"Aliquam eleifend volutpat efficitur. Fusce ut",0
"Nullam vel pharetra tortor. Morbi aliquet est",0
"Ut eu justo sed sem congue suscipit. Fusce lu",0
"Integer libero risus, efficitur id commodo ne",0
"Mauris faucibus tortor justo, non interdum ni",0
"Maecenas volutpat sem ante, tempor pretium el",0
"Quisque a elit posuere, tincidunt mauris et,",0
"Suspendisse posuere commodo neque bibendum bl",0
"Mauris posuere nunc a nunc finibus, et laoree",0
"Proin eget magna a ligula tempus commodo sed",0
"Donec ut lacinia diam. Curabitur quis ferment",0
"Maecenas posuere neque nec tempor malesuada.",0
"Proin in ipsum congue, suscipit sem vel, cons",0
"Mauris condimentum nunc a sodales convallis.",0
"Suspendisse ut fringilla enim. Sed ornare eni",0
"Vestibulum ante mi, placerat non leo auctor,",0
"Nulla ornare congue mi sed molestie. Suspendi",0
"Pellentesque quis augue at leo pretium facili",0
"Mauris accumsan ornare nunc, ut tempus orci m",0
"Sed suscipit malesuada turpis vitae suscipit.",0
"Morbi a molestie arcu. Vivamus vitae varius o",0
"In hac habitasse platea dictumst. Proin ut fe",0
"Donec iaculis urna a erat molestie aliquet. A",0
"Nunc finibus, elit ut sagittis interdum, feli",0
"Proin in ipsum congue, suscipit sem vel, cons",0
"Mauris condimentum nunc a sodales convallis.",0
"Suspendisse ut fringilla enim. Sed ornare eni",0
"Vestibulum ante mi, placerat non leo auctor,",0
"Nulla ornare congue mi sed molestie. Suspendi",0
"Pellentesque quis augue at leo pretium facili",0
"Mauris accumsan ornare nunc, ut tempus orci m",0
"Sed suscipit malesuada turpis vitae suscipit.",0
"Morbi a molestie arcu. Vivamus vitae varius o",0
"In hac habitasse platea dictumst. Proin ut fe",0
"Donec iaculis urna a erat molestie aliquet. A",0
"Suspendisse lacinia sem eget nisl faucibus pu",0
"Morbi elementum at turpis sit amet sodales. P",0
"Integer interdum maximus eleifend. Aenean ex",0
"Nullam rhoncus mollis odio, vitae iaculis vel",0
