Address,is_address
"777 Brockton Avenue, Abington MA 2351",1
"30 Memorial Drive, Avon MA 2322",1
"250 Hartford Avenue, Bellingham MA 2019",1
"700 Oak Street, Brockton MA 2301",1
"66-4 Parkhurst Rd, Chelmsford MA 1824",1
"591 Memorial Dr, Chicopee MA 1020",1
"55 Brooksby Village Way, Danvers MA 1923",1
"137 Teaticket Hwy, East Falmouth MA 2536",1
"42 Fairhaven Commons Way, Fairhaven MA 2719",1
"374 William S Canning Blvd, Fall River MA 2721",1
"121 Worcester Rd, Framingham MA 1701",1
"677 Timpany Blvd, Gardner MA 1440",1
"337 Russell St, Hadley MA 1035",1
"295 Plymouth Street, Halifax MA 2338",1
"1775 Washington St, Hanover MA 2339",1
"280 Washington Street, Hudson MA 1749",1
"20 Soojian Dr, Leicester MA 1524",1
"11 Jungle Road, Leominster MA 1453",1
"301 Massachusetts Ave, Lunenburg MA 1462",1
"780 Lynnway, Lynn MA 1905",1
"70 Pleasant Valley Street, Methuen MA 1844",1
"830 Curran Memorial Hwy, North Adams MA 1247",1
"1470 S Washington St, North Attleboro MA 2760",1
"506 State Road, North Dartmouth MA 2747",1
"742 Main Street, North Oxford MA 1537",1
"72 Main St, North Reading MA 1864",1
"200 Otis Street, Northborough MA 1532",1
"180 North King Street, Northhampton MA 1060",1
"555 East Main St, Orange MA 1364",1
"555 Hubbard Ave-Suite 12, Pittsfield MA 1201",1
"300 Colony Place, Plymouth MA 2360",1
"301 Falls Blvd, Quincy MA 2169",1
"36 Paramount Drive, Raynham MA 2767",1
"450 Highland Ave, Salem MA 1970",1
"1180 Fall River Avenue, Seekonk MA 2771",1
"1105 Boston Road, Springfield MA 1119",1
"100 Charlton Road, Sturbridge MA 1566",1
"262 Swansea Mall Dr, Swansea MA 2777",1
"333 Main Street, Tewksbury MA 1876",1
"550 Providence Hwy, Walpole MA 2081",1
"352 Palmer Road, Ware MA 1082",1
"3005 Cranberry Hwy Rt 6 28, Wareham MA 2538",1
"250 Rt 59, Airmont NY 10901",1
"141 Washington Ave Extension, Albany NY 12205",1
"13858 Rt 31 W, Albion NY 14411",1
