Address,is_address
"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",1
"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",1
"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",1
"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",1
"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",1
"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",1
"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",1
"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",1
"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",1
"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",1
"75 East Capitol Drive, Kapitolyo, Pasig City",1
"23 East Capitol Drive, Kapitolyo, Pasig City",1
"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",1
"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",1
"17 J. Abad Santos Drive, Little Baguio, San Juan City",1
"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",1
"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",1
"Aguinaldo Highway, Tagaytay City",1
"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",1
"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",1
"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",1
"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",1
"SCLN, 208, Bloco A, Loja 30, Asa Norte, Bras�_lia",1
"SCLN 104, Bloco A, Loja 26, Asa Norte, Bras�_lia",1
"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Bras�_lia",1
"CLN 110, Bloco D, Loja 28, Asa Norte, Bras�_lia",1
